Regular hours,Overtime hours,Total hours,Regular cost,Overtime cost,Total cost,Job title
10.550,0.000,10.550,27.85,0.00,27.85,Busser
5.279,0.000,5.279,13.94,0.00,13.94,Host
93.765,0.000,93.765,247.54,0.00,247.54,Host
38.155,0.000,38.155,100.73,0.00,100.73,Busser
110.906,5.519,116.425,292.79,21.85,314.64,Busser
150.312,4.636,154.948,2236.65,103.46,2340.11,BOH Line Cook
166.846,3.322,170.169,2482.68,74.16,2556.84,BOH Line Cook
181.628,49.071,230.700,2702.63,1095.27,3797.90,BOH Line Cook
181.255,19.279,200.534,2697.07,430.30,3127.37,BOH Line Cook
129.327,5.634,134.960,1924.38,125.75,2050.13,BOH Line Cook
76.611,0.000,76.611,1139.97,0.00,1139.97,BOH Line Cook
180.860,20.348,201.208,2691.20,454.16,3145.36,BOH Line Cook
79.121,0.000,79.121,1177.32,0.00,1177.32,BOH Line Cook
169.943,0.000,169.943,2528.75,0.00,2528.75,BOH Line Cook
178.359,3.068,181.427,2653.98,68.48,2722.46,BOH Line Cook
120.157,1.061,121.218,1787.93,23.69,1811.62,BOH Line Cook
5.788,0.000,5.788,15.28,0.00,15.28,Bartender
50.177,0.000,50.177,622.20,0.00,622.20,Dishwasher/Prep
107.157,0.000,107.157,1328.75,0.00,1328.75,Dishwasher/Prep
71.673,0.000,71.673,189.22,0.00,189.22,Server
41.772,0.000,41.772,110.28,0.00,110.28,Server
115.619,0.000,115.619,305.24,0.00,305.24,Server
73.236,0.000,73.236,193.34,0.00,193.34,Server
96.055,0.000,96.055,253.58,0.00,253.58,Server
38.091,0.000,38.091,100.56,0.00,100.56,Server
52.869,0.000,52.869,139.57,0.00,139.57,Server
106.065,0.000,106.065,280.01,0.00,280.01,Server
107.502,0.000,107.502,283.80,0.00,283.80,Server
125.938,0.000,125.938,332.48,0.00,332.48,Server
40.158,0.000,40.158,106.02,0.00,106.02,Server
141.178,48.135,189.313,2100.73,1074.37,3175.10,Restaurant Captain
103.670,4.427,108.097,1818.58,98.80,1917.38,Restaurant Captain
