Menu Item,Menu Group,Menu,Item Qty,Gross Amount,Net Amount,# Orders
Supreme Pork Xiao Long Bao (8),Xiao Long Bao,Food,"1,935","$25,154.99","$23,765.14","1,608"
Szechuan Spicy Xiao Long Bao (8),Xiao Long Bao,Food,906,"$11,778.00","$11,119.28",831
Crab & Pork Xiao Long Bao (8),Xiao Long Bao,Food,510,"$7,650.00","$7,399.47",488
Shrimp & Pork Xiao Long Bao (8),Xiao Long Bao,Food,482,"$6,748.00","$6,531.96",446
Black Truffle & Chicken Xiao Long Bao (6),Xiao Long Bao,Food,422,"$8,018.00","$7,877.40",408
Chicken Xiao Long Bao (8),Xiao Long Bao,Food,357,"$4,284.00","$4,167.79",326
Steamed Vegetable Dumplings (8),Xiao Long Bao,Food,138,"$1,656.00","$1,571.00",134
Supreme Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),208,"$2,912.00","$2,912.00",112
Szechuan Spicy Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),104,"$1,456.00","$1,456.00",57
Chicken Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),91,"$1,092.00","$1,092.00",53
Shrimp & Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),10,$155.00,$155.00,9
Steamed Vegetable Dumplings (8),Xiao Long Bao,Food (3PDTX),5,$82.50,$82.50,5
Crab & Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),4,$66.00,$66.00,4
Black Truffle & Chicken Xiao Long Bao (6),Xiao Long Bao,Food (3PDTX),4,$82.00,$82.00,4
Woodbridge,Wine,Drinks,21,$189.00,$189.00,12
Bonanza - Glass,Wine,Drinks,11,$110.00,$110.00,7
Morning Mimosa,Wine,Drinks,9,$72.00,$29.94,4
14 Hands Hot To Trot - Glass,Wine,Drinks,4,$36.00,$36.00,3
Mionetto,Wine,Drinks,2,$26.00,$26.00,2
Bonanza - Bottle,Wine,Drinks,1,$35.00,$35.00,1
14 Hands Hot To Trot - Bottle,Wine,Drinks,0,$0.00,$0.00,1
Chocolate Xiao Long Bao (6),Sweet Xiao Long Bao,Food,200,"$2,000.01","$1,883.66",200
Sweet Taro Xiao Long Bao (6),Sweet Xiao Long Bao,Food,113,"$1,017.00",$970.19,114
Sweet Red Bean Xiao Long Bao (6),Sweet Xiao Long Bao,Food,47,$423.00,$387.00,47
Sweet Taro Xiao Long Bao (6),Sweet Xiao Long Bao,Food (3PDTX),12,$120.00,$120.00,12
Sweet Red Bean Xiao Long Bao (6),Sweet Xiao Long Bao,Food (3PDTX),5,$50.00,$50.00,6
Supreme Spicy Pork Wontons,Spicy Wontons,Food,731,"$6,213.50","$6,071.38",680
Shrimp & Pork Wontons,Spicy Wontons,Food,425,"$4,037.50","$3,882.84",394
Supreme Spicy Pork Wontons,Spicy Wontons,Food (3PDTX),30,$375.00,$375.00,29
Shrimp & Pork Wontons,Spicy Wontons,Food (3PDTX),28,$364.00,$364.00,27
Steamed Chicken Soup,Soup,Food,176,"$1,848.00","$1,808.70",159
Steamed Beef Soup,Soup,Food,50,$575.00,$574.98,47
Hot & Sour Soup,Soup,Food (3PDTX),16,$160.00,$160.00,17
Steamed Beef Soup,Soup,Food (3PDTX),4,$50.00,$50.00,4
Steamed Chicken Soup,Soup,Food (3PDTX),2,$25.00,$25.00,2
Tanrei Junmai,Sake,Drinks,27,$229.50,$229.50,19
Gekkeikan Haiku,Sake,Drinks,5,$90.00,$90.00,5
Gekkeikan Nigori,Sake,Drinks,5,$80.00,$80.00,5
Fried Pork Chop,Pork Chop,Food,209,"$2,299.00","$2,249.49",198
Mini Pan-Fried Dumplings (8),Pan-Fried,Food,"1,531","$22,965.00","$22,571.48","1,384"
Pan-Fried Leek Pie (3),Pan-Fried,Food,175,"$1,662.50","$1,548.49",167
Mini Pan-Fried Dumplings (8),Pan-Fried,Food (3PDTX),29,$522.00,$522.00,22
Pan-Fried Leek Pie (3),Pan-Fried,Food (3PDTX),8,$96.00,$96.00,8
Drunken Mocha,Open Drink,Drinks,7,$62.00,$62.00,6
Misteltoe Martini,Open Drink,Drinks,5,$60.00,$60.00,1
Druken Mocha,Open Drink,Drinks,4,$49.05,$49.05,3
