Menu Item,Menu Group,Menu,Item Qty,Gross Amount,Net Amount,# Orders
Supreme Pork Xiao Long Bao (8),Xiao Long Bao,Food,"1,663","$21,619.00","$21,156.57","1,389"
Szechuan Spicy Xiao Long Bao (8),Xiao Long Bao,Food,795,"$10,335.00","$10,153.14",719
Crab & Pork Xiao Long Bao (8),Xiao Long Bao,Food,416,"$6,240.00","$6,167.57",399
Shrimp & Pork Xiao Long Bao (8),Xiao Long Bao,Food,378,"$5,292.00","$5,100.89",352
Black Truffle & Chicken Xiao Long Bao (6),Xiao Long Bao,Food,361,"$6,859.00","$6,788.32",339
Chicken Xiao Long Bao (8),Xiao Long Bao,Food,336,"$4,032.00","$3,959.22",297
Steamed Vegetable Dumplings (8),Xiao Long Bao,Food,124,"$1,488.00","$1,437.24",120
Supreme Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),234,"$3,276.00","$3,276.00",129
Chicken Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),110,"$1,320.00","$1,320.00",62
Szechuan Spicy Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),106,"$1,484.00","$1,484.00",61
Crab & Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),15,$247.50,$247.50,15
Shrimp & Pork Xiao Long Bao (8),Xiao Long Bao,Food (3PDTX),12,$186.00,$186.00,11
Black Truffle & Chicken Xiao Long Bao (6),Xiao Long Bao,Food (3PDTX),11,$225.50,$225.50,11
Steamed Vegetable Dumplings (8),Xiao Long Bao,Food (3PDTX),7,$115.50,$115.50,7
Woodbridge,Wine,Drinks,21,$189.00,$189.00,13
Bonanza - Glass,Wine,Drinks,18,$180.00,$180.00,13
Morning Mimosa,Wine,Drinks,7,$56.00,$20.95,3
14 Hands Hot To Trot - Glass,Wine,Drinks,6,$54.00,$54.00,6
Mionetto,Wine,Drinks,6,$78.00,$78.00,4
Chocolate Xiao Long Bao (6),Sweet Xiao Long Bao,Food,185,"$1,850.00","$1,745.68",179
Sweet Taro Xiao Long Bao (6),Sweet Xiao Long Bao,Food,97,$873.00,$854.99,95
Sweet Red Bean Xiao Long Bao (6),Sweet Xiao Long Bao,Food,47,$423.00,$413.98,47
Sweet Taro Xiao Long Bao (6),Sweet Xiao Long Bao,Food (3PDTX),26,$260.00,$260.00,24
Sweet Red Bean Xiao Long Bao (6),Sweet Xiao Long Bao,Food (3PDTX),8,$80.00,$80.00,7
Supreme Spicy Pork Wontons,Spicy Wontons,Food,734,"$6,239.00","$6,071.15",684
Shrimp & Pork Wontons,Spicy Wontons,Food,371,"$3,524.50","$3,445.64",350
Supreme Spicy Pork Wontons,Spicy Wontons,Food (3PDTX),41,$512.50,$512.50,39
Shrimp & Pork Wontons,Spicy Wontons,Food (3PDTX),11,$143.00,$143.00,10
Steamed Chicken Soup,Soup,Food,140,"$1,470.00","$1,454.89",129
Steamed Beef Soup,Soup,Food,30,$345.00,$342.65,31
Hot & Sour Soup,Soup,Food (3PDTX),18,$180.00,$180.00,17
Steamed Beef Soup,Soup,Food (3PDTX),7,$87.50,$87.50,7
Steamed Chicken Soup,Soup,Food (3PDTX),4,$50.00,$50.00,4
Tanrei Junmai,Sake,Drinks,30,$255.00,$255.00,23
Gekkeikan Nigori,Sake,Drinks,14,$224.00,$224.00,13
Gekkeikan Haiku,Sake,Drinks,11,$198.00,$198.00,10
Kizakura Yuzu Sparkling,Sake,Drinks,1,$12.00,$12.00,1
Fried Pork Chop,Pork Chop,Food,183,"$2,013.00","$1,969.21",173
Mini Pan-Fried Dumplings (8),Pan-Fried,Food,"1,414","$21,210.00","$21,002.33","1,267"
Pan-Fried Leek Pie (3),Pan-Fried,Food,130,"$1,235.00","$1,101.57",127
Mini Pan-Fried Dumplings (8),Pan-Fried,Food (3PDTX),37,$666.00,$666.00,36
Pan-Fried Leek Pie (3),Pan-Fried,Food (3PDTX),9,$108.00,$108.00,8
Soda,Open Drink,Drinks,6,$21.00,$14.00,3
Strawberry Fields,Open Drink,Drinks,5,$60.00,$60.00,4
Apple Juice,Open Drink,Drinks,4,$11.00,$11.00,3
Drunken Mocha,Open Drink,Drinks,4,$49.05,$49.05,4
Orange Juice,Open Drink,Drinks,3,$3.00,$3.00,3
Cinnamon Velvet Martini,Open Drink,Drinks,2,$24.00,$24.00,2
Lychee Martini,Open Drink,Drinks,2,$24.00,$24.00,1
1800 Upcharge,Open Drink,Drinks,1,$2.00,$2.00,1
Buffalo Old Fashioned,Open Drink,Drinks,1,$14.00,$14.00,1
Corkage Fee,Open Drink,Drinks,1,$10.00,$10.00,1
Ginger Mint,Open Drink,Drinks,1,$12.00,$12.00,1
Ginger Mint Medley,Open Drink,Drinks,1,$12.00,$12.00,1
Lychee,Open Drink,Drinks,1,$1.00,$1.00,1
Mistletoe,Open Drink,Drinks,1,$12.00,$12.00,1
Mistletoe Martini,Open Drink,Drinks,1,$12.00,$12.00,1
Oarange Juice,Open Drink,Drinks,1,$4.00,$4.00,1
Spring Lily,Open Drink,Drinks,1,$12.00,$12.00,1
Supreme Tan Tan Noodles,Noodles,Food,739,"$9,607.00","$9,061.58",689
Shanghai Scallion Oil Noodle,Noodles,Food,228,"$2,052.00","$1,855.62",206
Shrimp & Pork Wonton Noodle Soup,Noodles,Food,209,"$3,135.00","$3,025.24",196
Braised Beef Noodle Soup,Noodles,Food,203,"$3,146.50","$3,124.34",180
Pork Wonton Noodle Soup,Noodles,Food,158,"$2,054.00","$1,895.90",149
Pork Chop Noodle Soup,Noodles,Food,135,"$2,160.00","$2,001.98",125
Only Noodle,Noodles,Food,40,$200.00,$194.50,38
Taiwanese Spicy Cold Noodles,Noodles,Food,24,$264.00,$253.00,24
Taiwanese Cold Noodles,Noodles,Food,18,$189.00,$187.95,17
Supreme Tan Tan Noodles,Noodles,Food (3PDTX),34,$527.00,$527.00,33
Shanghai Scallion Oil Noodle,Noodles,Food (3PDTX),12,$132.00,$132.00,12
Braised Beef Noodle Soup,Noodles,Food (3PDTX),7,$122.50,$122.50,7
Shrimp & Pork Wonton Noodle Soup,Noodles,Food (3PDTX),5,$92.50,$92.50,4
Pork Wonton Noodle Soup,Noodles,Food (3PDTX),4,$66.00,$66.00,4
Pork Chop Noodle Soup,Noodles,Food (3PDTX),3,$52.50,$52.50,3
Coke,NA Beaverage,Drinks,201,$591.50,$573.65,156
Jasmine Green,NA Beaverage,Drinks,160,$760.00,$752.02,162
Diet Coke,NA Beaverage,Drinks,159,$472.50,$472.15,126
Sprite,NA Beaverage,Drinks,127,$360.50,$356.30,102
Peach Oolong,NA Beaverage,Drinks,115,$546.25,$545.94,115
Lychee Black,NA Beaverage,Drinks,68,$323.00,$317.22,68
Japanese Milk Tea SD,NA Beaverage,Drinks,58,$320.00,$287.00,53
Taro Milk Tea,NA Beaverage,Drinks,57,$317.50,$283.95,52
Ginger Ale,NA Beaverage,Drinks,55,$192.50,$192.50,49
Iced Wintermelon Tea,NA Beaverage,Drinks,54,$270.00,$250.00,49
Yuzu Mango Green Tea,NA Beaverage,Drinks,30,$165.00,$143.00,31
Rose Tie Guan Yin,NA Beaverage,Drinks,28,$133.01,$132.68,28
Jasmine Green Milk Tea,NA Beaverage,Drinks,28,$154.00,$134.50,26
Iced Wintermelon Tea w/milk,NA Beaverage,Drinks,13,$71.50,$66.00,12
Matcha Green Tea (32oz),NA Beaverage,Drinks,7,$63.00,$63.00,7
Whole Milk,NA Beaverage,Drinks,7,$24.50,$24.50,6
Sour Plum Juice SD,NA Beaverage,Drinks,3,$16.50,$16.50,4
Sapporo,Liquor & Beer,Drinks,70,$455.00,$442.00,48
Asahi,Liquor & Beer,Drinks,63,$409.50,$409.50,45
Single Shot,Liquor & Beer,Drinks,20,$160.00,$160.00,10
Double shot,Liquor & Beer,Drinks,13,$130.00,$130.00,12
Kids TanTan Noodle Set,Kid's Menu,Food,56,$559.44,$549.45,56
Kids Fried Rice Set,Kid's Menu,Food,38,$379.62,$359.64,37
Hot & Sour Soup,Soup,Food,147,"$1,102.50","$1,033.65",144
Stir Fried String Beans,Greens,Food,409,"$6,339.50","$5,957.77",394
Stir Fried Seasonal Greens with Garlic,Greens,Food,200,"$2,400.00","$2,372.75",197
Bean Sprout Stir-Fry w/Mushroom,Greens,Food,28,$280.00,$267.14,28
Bean Sprout Stir-Fry w/Shrimp,Greens,Food,14,$182.00,$155.97,13
Stir Fried Seasonal Greens with Garlic,Greens,Food (3PDTX),22,$308.00,$308.00,22
Stir Fried String Beans,Greens,Food (3PDTX),7,$122.50,$122.50,7
Bean Sprout Stir-Fry w/Mushroom,Greens,Food (3PDTX),3,$39.00,$39.00,3
Bean Sprout Stir-Fry w/Shrimp,Greens,Food (3PDTX),1,$16.50,$16.50,1
Pork Chop Fried Rice,Fried Rice,Food,977,"$16,609.00","$15,648.61",867
Shrimp Fried Rice,Fried Rice,Food,350,"$5,250.00","$4,868.66",325
Steamed Rice,Fried Rice,Food,152,$456.00,$425.70,107
Wild Mushroom Fried Rice,Fried Rice,Food,144,"$2,304.00","$2,232.85",142
Black Truffle & Vegetable Fried Rice,Fried Rice,Food,102,"$1,887.00","$1,842.16",98
Pork Chop Fried Rice,Fried Rice,Food (3PDTX),60,"$1,230.00","$1,230.00",55
Shrimp Fried Rice,Fried Rice,Food (3PDTX),16,$312.00,$312.00,16
Steamed Rice,Fried Rice,Food (3PDTX),15,$45.00,$45.00,12
Black Truffle & Vegetable Fried Rice,Fried Rice,Food (3PDTX),9,$198.00,$198.00,9
Wild Mushroom Fried Rice,Fried Rice,Food (3PDTX),6,$132.00,$132.00,6
Drunken Chilled Chicken,Appetizers,Food,64,$768.00,$756.00,63
Charcoal gold lava custard bun w/ gold flakes,Desserts,Food,320,"$3,200.00","$3,120.96",284
"Black Sesame Glutinous Rice balls (2 Peanut, 1 Matcha)",Desserts,Food,17,$127.50,$127.50,17
Black Sesame Glutinous Rice balls (Peanut),Desserts,Food,14,$105.00,$105.00,15
"Black Sesame Glutinous Rice balls (2 Matcha, 1 Peanut)",Desserts,Food,9,$67.50,$60.00,10
Black Sesame Glutinous Rice balls (Matcha),Desserts,Food,7,$52.50,$52.04,7
Prickly Pear Margarita,Cocktails,Drinks,71,$852.00,$852.00,54
Old Fashioned,Cocktails,Drinks,67,$804.00,$802.41,52
Lavender Honey Bees Knees,Cocktails,Drinks,60,$720.00,$720.00,54
Huckleberry Lemondrop,Cocktails,Drinks,52,$624.00,$624.00,43
Strawberry Basil Smash,Cocktails,Drinks,50,$600.00,$600.00,49
Black Berry Mojito,Cocktails,Drinks,47,$564.00,$564.00,40
